"id"|"plec"|"wyksztalcenie"|"stanowisko"|"lata_doswiadczenia"|"wynagrodzenie"
1|"K"|"wyższe"|"kierownik"|12|8500
2|"M"|"średnie"|"specjalista"|-99|4200
3|"K"|"wyższe"|"dyrektor"|NA|12000
4|"M"|"zawodowe"|"pracownik"|2|NA
5|"K"|"średnie"|"specjalista"|7|4800
6|"M"|"wyższe"|"kierownik"|10|7800
7|"K"|"zawodowe"|"pracownik"|1|-9
8|"M"|"wyższe"|"specjalista"|NA|5500
9|"K"|"średnie"|"pracownik"|3|3200
10|"M"|"wyższe"|"dyrektor"|20|13500
11|"K"|"wyższe"|"kierownik"|NA|7200
12|"M"|"średnie"|"specjalista"|6|4500
13|"K"|"zawodowe"|"pracownik"|4|-9
14|"M"|"wyższe"|"specjalista"|11|6200
15|"K"|"średnie"|"pracownik"|-99|2900
16|"M"|"wyższe"|"kierownik"|14|9200
17|"K"|"wyższe"|"dyrektor"|16|11500
18|"M"|"zawodowe"|"pracownik"|3|NA
19|"K"|"średnie"|"specjalista"|8|5000
20|"M"|"wyższe"|"kierownik"|NA|8800
21|"K"|"wyższe"|"specjalista"|7|5300
22|"M"|"średnie"|"pracownik"|-99|NA
23|"K"|"wyższe"|"dyrektor"|19|12800
24|"M"|"zawodowe"|"pracownik"|1|NA
25|"K"|"średnie"|"specjalista"|-99|5200
26|"M"|"wyższe"|"kierownik"|11|8200
27|"K"|"zawodowe"|"pracownik"|2|2850
28|"M"|"średnie"|"specjalista"|5|4300
29|"K"|"wyższe"|"kierownik"|NA|9500
30|"M"|"wyższe"|"dyrektor"|22|14000
31|"K"|"średnie"|"pracownik"|-99|3150
32|"M"|"wyższe"|"specjalista"|10|6000
33|"K"|"zawodowe"|"pracownik"|1|-9
34|"M"|"średnie"|"specjalista"|6|4600
35|"K"|"wyższe"|"kierownik"|12|8400
36|"M"|"wyższe"|"dyrektor"|NA|11800
37|"K"|"średnie"|"pracownik"|4|3350
38|"M"|"zawodowe"|"pracownik"|2|NA
39|"K"|"wyższe"|"specjalista"|9|5800
40|"M"|"średnie"|"specjalista"|-99|4700
41|"K"|"wyższe"|"kierownik"|14|9000
42|"M"|"wyższe"|"dyrektor"|NA|13200
43|"K"|"zawodowe"|"pracownik"|3|-9
44|"M"|"średnie"|"specjalista"|-99|4900
45|"K"|"wyższe"|"specjalista"|6|5100
46|"M"|"wyższe"|"kierownik"|10|7900
47|"K"|"średnie"|"pracownik"|5|3500
48|"M"|"zawodowe"|"pracownik"|2|2900
49|"K"|"wyższe"|"dyrektor"|15|10800
50|"M"|"średnie"|"specjalista"|-99|4100
